person,userId,name,kana,tel,email,postalCode,address1,address2,buildingNameRoomNumber,relationship,emergencyContactName1,emergencyContactKana1,emergencyContactRelationship1,emergencyContactCompany1,emergencyContactTel1,emergencyContactEmail1,emergencyContactName2,emergencyContactKana2,emergencyContactRelationship2,emergencyContactCompany2,emergencyContactTel2,emergencyContactEmail2,emergencyContactName3,emergencyContactKana3,emergencyContactRelationship3,emergencyContactCompany3,emergencyContactTel3,emergencyContactEmail3,welfareHouseholdFlag,taxExemptHouseholdFlag,singleParentHouseholdFlag,fatherlessFlag,multipleBirthsHouseholdFlag,limitApprovalFlag,deleteFlag
"{""name"":""玉置 友香"",""kana"":""タマキ トモカ"",""lastName"":""玉置"",""firstName"":""友香"",""lastKana"":""タマキ"",""firstKana"":""トモカ"",""sex"":""女"",""age"":""37"",""birthday"":""1984/6/6"",""bloodType"":""O型"",""cellPhoneNumber"":""090- 699-1073"",""relationship"":""本人"",""index"":863}",7c8f4b88-0735-4bfb-a03e-b04eea2e67d6,玉置 友香,タマキ トモカ,090- 699-1073,slk.ty.yamaguchi+101@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,玉置 憲一,タマキ ケンイチ,祖父,,090-1670-7976,,,,,,,,,,,,,,,,,,,,
"{""name"":""柴田 菜々美"",""kana"":""シバタ ナナミ"",""lastName"":""柴田"",""firstName"":""菜々美"",""lastKana"":""シバタ"",""firstKana"":""ナナミ"",""sex"":""女"",""age"":""28"",""birthday"":""1993/5/5"",""bloodType"":""O型"",""cellPhoneNumber"":""090-8483-5848"",""relationship"":""本人"",""index"":445}",71a9d380-9cd6-4ba3-93cf-f06242681a41,柴田 菜々美,シバタ ナナミ,090-8483-5848,slk.ty.yamaguchi+102@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,柴田 璃子,シバタ リコ,祖母,,080-3501-2197,,,,,,,,,,,,,,,,,,,,
"{""name"":""松川 亜希"",""kana"":""マツカワ アキ"",""lastName"":""松川"",""firstName"":""亜希"",""lastKana"":""マツカワ"",""firstKana"":""アキ"",""sex"":""女"",""age"":""38"",""birthday"":""1983/7/8"",""bloodType"":""O型"",""cellPhoneNumber"":""080-1701-6305"",""relationship"":""本人"",""index"":353}",14fc829a-6f1a-40f5-a2e1-0ef311d5cd14,松川 亜希,マツカワ アキ,080-1701-6305,slk.ty.yamaguchi+103@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,松川 寛,マツカワ ヒロシ,祖父,,080-7750- 877,,,,,,,,,,,,,,,,,,,,
"{""name"":""真田 健"",""kana"":""サナダ ケン"",""lastName"":""真田"",""firstName"":""健"",""lastKana"":""サナダ"",""firstKana"":""ケン"",""sex"":""男"",""age"":""32"",""birthday"":""1989/5/6"",""bloodType"":""O型"",""cellPhoneNumber"":""080-9733-  41"",""relationship"":""本人"",""index"":492}",a624a566-8feb-420e-92f1-963e32822401,真田 健,サナダ ケン,080-9733-  41,slk.ty.yamaguchi+104@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,真田 ひろみ,サナダ ヒロミ,祖母,,090-4463- 486,,,,,,,,,,,,,,,,,,,,
"{""name"":""川井 里奈"",""kana"":""カワイ リナ"",""lastName"":""川井"",""firstName"":""里奈"",""lastKana"":""カワイ"",""firstKana"":""リナ"",""sex"":""女"",""age"":""43"",""birthday"":""1978/8/15"",""bloodType"":""O型"",""cellPhoneNumber"":""090-4861-3727"",""relationship"":""本人"",""index"":961}",61975d55-ea02-4acc-a530-d5d611bcd0c6,川井 里奈,カワイ リナ,090-4861-3727,slk.ty.yamaguchi+105@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,川井 高史,カワイ タカシ,祖父,,090-7954-7740,,,,,,,,,,,,,,,,,,,,
"{""name"":""上杉 勇"",""kana"":""ウエスギ ユウ"",""lastName"":""上杉"",""firstName"":""勇"",""lastKana"":""ウエスギ"",""firstKana"":""ユウ"",""sex"":""女"",""age"":""27"",""birthday"":""1994/4/27"",""bloodType"":""O型"",""cellPhoneNumber"":""080- 606-4369"",""relationship"":""本人"",""index"":360}",887e868d-4029-4eaf-862d-19fac3c4fbda,上杉 勇,ウエスギ ユウ,080- 606-4369,slk.ty.yamaguchi+106@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,上杉 一代,ウエスギ カズヨ,祖母,,080-9939-2131,,,,,,,,,,,,,,,,,,,,
"{""name"":""柏原 兼"",""kana"":""カシワラ ケン"",""lastName"":""柏原"",""firstName"":""兼"",""lastKana"":""カシワラ"",""firstKana"":""ケン"",""sex"":""男"",""age"":""20"",""birthday"":""2001/11/10"",""bloodType"":""B型"",""cellPhoneNumber"":""080-4866-2722"",""relationship"":""本人"",""index"":950}",d0000c12-36a0-4dd3-9b35-308b46ea3cf7,柏原 兼,カシワラ ケン,080-4866-2722,slk.ty.yamaguchi+107@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,柏原 和香,カシワラ ワカ,祖母,,090-7880-5929,,,,,,,,,,,,,,,,,,,,
"{""name"":""坂田 薫"",""kana"":""サカタ カオル"",""lastName"":""坂田"",""firstName"":""薫"",""lastKana"":""サカタ"",""firstKana"":""カオル"",""sex"":""男"",""age"":""27"",""birthday"":""1994/2/27"",""bloodType"":""A型"",""cellPhoneNumber"":""090-5720-6555"",""relationship"":""本人"",""index"":67}",dce6cbeb-f879-4532-866c-aff03a7b7ef7,坂田 薫,サカタ カオル,090-5720-6555,slk.ty.yamaguchi+108@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,坂田 太朗,サカタ タロウ,祖父,,080-3567-4411,,,,,,,,,,,,,,,,,,,,
"{""name"":""新村 宏"",""kana"":""ニイムラ ヒロシ"",""lastName"":""新村"",""firstName"":""宏"",""lastKana"":""ニイムラ"",""firstKana"":""ヒロシ"",""sex"":""男"",""age"":""41"",""birthday"":""1980/9/1"",""bloodType"":""A型"",""cellPhoneNumber"":""080-7641-4140"",""relationship"":""本人"",""index"":984}",df01adf0-91d4-42c5-b5cb-d0a95d325c86,新村 宏,ニイムラ ヒロシ,080-7641-4140,slk.ty.yamaguchi+109@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,新村 なつみ,ニイムラ ナツミ,祖母,,090- 626-8147,,,,,,,,,,,,,,,,,,,,
"{""name"":""三船 瞳"",""kana"":""ミフネ ヒトミ"",""lastName"":""三船"",""firstName"":""瞳"",""lastKana"":""ミフネ"",""firstKana"":""ヒトミ"",""sex"":""女"",""age"":""22"",""birthday"":""1999/3/21"",""bloodType"":""O型"",""cellPhoneNumber"":""080-1439-8046"",""relationship"":""本人"",""index"":365}",d8666336-ec9e-4101-9ef2-6cbc12b3163f,三船 瞳,ミフネ ヒトミ,080-1439-8046,slk.ty.yamaguchi+110@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,三船 えみ,ミフネ エミ,祖母,,080-3577-1673,,,,,,,,,,,,,,,,,,,,
"{""name"":""赤木 広之"",""kana"":""アカギ ヒロユキ"",""lastName"":""赤木"",""firstName"":""広之"",""lastKana"":""アカギ"",""firstKana"":""ヒロユキ"",""sex"":""男"",""age"":""40"",""birthday"":""1981/5/20"",""bloodType"":""O型"",""cellPhoneNumber"":""080-4689-2463"",""relationship"":""本人"",""index"":16}",d1878acc-16a6-4061-b8ea-29b9555edb5f,赤木 広之,アカギ ヒロユキ,080-4689-2463,slk.ty.yamaguchi+111@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,赤木 優,アカギ ユウ,祖母,,080-4200-1466,,,,,,,,,,,,,,,,,,,,
"{""name"":""菅野 みき"",""kana"":""スガノ ミキ"",""lastName"":""菅野"",""firstName"":""みき"",""lastKana"":""スガノ"",""firstKana"":""ミキ"",""sex"":""女"",""age"":""20"",""birthday"":""2001/9/3"",""bloodType"":""AB型"",""cellPhoneNumber"":""090-4679-6376"",""relationship"":""本人"",""index"":329}",25af3cf1-c791-4df6-8509-aebbf7feb7aa,菅野 みき,スガノ ミキ,090-4679-6376,slk.ty.yamaguchi+112@gmail.com,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,,菅野 あき,スガノ アキ,祖母,,080-1973-1457,,,,,,,,,,,,,,,,,,,,
