title,interviewsNo,facilityId,firstChoiceDate,firstChoiceTimeFrom,firstChoiceTimeTo,secondChoiceDate,secondChoiceTimeFrom,secondChoiceTimeTo,thirdChoiceDate,thirdChoiceTimeFrom,thirdChoiceTimeTo,reservationFixDate,reservationFixTimeFrom,reservationFixTimeTo,reservationMethod,status,parentName,parentKana,postalCode,address1,address2,buildingNameRoomNumber,tel,email,relationship,emergencyContactName1,emergencyContactKana1,emergencyContactRelationship1,emergencyContactCompany1,emergencyContactTel1,emergencyContactEmail1,emergencyContactName2,emergencyContactKana2,emergencyContactRelationship2,emergencyContactCompany2,emergencyContactTel2,emergencyContactEmail2,emergencyContactName3,emergencyContactKana3,emergencyContactRelationship3,emergencyContactCompany3,emergencyContactTel3,emergencyContactEmail3,welfareHouseholdFlag,taxExemptHouseholdFlag,singleParentHouseholdFlag,fatherlessFlag,multipleBirthsHouseholdFlag,limitApprovalFlag,childcareBusinessUserFlag,noChildcareProvidedFlag,limitOverApprovalFlag,regularUseFlag,singleUseFlag,childName,childKana,childBirth,registAge,childGender,bloodType,childMedicalHistoryFlag,childMedicalHistoryContent,childAllergyFlag,allergyCauses1,allergySymptoms1,allergyTreatments1,allergyConcerns1,allergyCauses2,allergySymptoms2,allergyTreatments2,allergyConcerns2,allergyCauses3,allergySymptoms3,allergyTreatments3,allergyConcerns3,brothersSistersFlag,multipleBirthsFlag,disabilitiesFlag,note,interviewDate,permitFlag,reason,facilityNumber,birthHeight,birthWeight,normal,healthPhysical,familyHospital,familyHospitalTel,bedTime,wakeupTime,napTime,napStartTime,napEndTime,putToSleep,fallAsleep,excretion,leaveChildFlag,leaveChildTo,userId,childId
1 - 子供 1,1,a0005,2022/01/07,1400,0,,0,0,,0,0,2022/01/07,1400,0,,,香椎 由宇,かしい ゆう,2210854,神奈川県横浜市神奈川区三ツ沢南町,1-1,,080-9831- 636,akio_shibata+101@densan-s.co.jp,,香椎 真一,かしい しんいち,父,,,,,,,,,,,,,,,,,,,,,,,,,,,香椎 薫,かしい かおる,2017/11/21,4,女,B型,,,,,,,,,,,,,,,,,,,,2022/01/07,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+101@densan-s.co.jp,shibata1
2 - 子供 1,2,a0005,2020/06/29,1600,0,,0,0,,0,0,2020/06/29,1600,0,,,浅利 美和子,あさり みわこ,2400061,神奈川県横浜市保土ケ谷区峰沢町,1-1,,090-1522- 906,akio_shibata+102@densan-s.co.jp,,浅利 恵美,あさり めぐみ,母,,,,,,,,,,,,,,,,,,,,,,,,,,,浅利 太朗,あさり たろう,2017/11/9,4,男,O型,,,,,,,,,,,,,,,,,,,,2020/06/29,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+102@densan-s.co.jp,shibata2
3 - 子供 1,3,a0005,2022/01/10,1700,0,,0,0,,0,0,2022/01/10,1700,0,,,妻夫木 はるか,つまぶき はるか,2220003,神奈川県横浜市港北区大曽根,1-1,,080-8304-6905,akio_shibata+103@densan-s.co.jp,,妻夫木 めぐみ,つまぶき めぐみ,母,,,,,,,,,,,,,,,,,,,,,,,,,,,妻夫木 真一,つまぶき しんいち,2022/1/5,0,男,A型,,,,,,,,,,,,,,,,,,,,2022/01/10,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+103@densan-s.co.jp,shibata3
4 - 子供 1,4,a0005,2020/10/13,1300,0,,0,0,,0,0,2020/10/13,1300,0,,,林田 あき,はやしだ あき,2310827,神奈川県横浜市中区本牧和田,1-1,,090-1273-9722,akio_shibata+104@densan-s.co.jp,,林田 愛梨,はやしだ あいり,母,,,,,,,,,,,,,,,,,,,,,,,,,,,林田 コウ,はやしだ こう,2018/10/28,3,女,A型,,,,,,,,,,,,,,,,,,,,2020/10/13,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+104@densan-s.co.jp,shibata4
5 - 子供 1,5,a0005,2021/07/18,1100,0,,0,0,,0,0,2021/07/18,1100,0,,,野原 竜也,のはら たつや,2350045,神奈川県横浜市磯子区洋光台,1-1,,090-7722-3197,akio_shibata+105@densan-s.co.jp,,野原 一樹,のはら かずき,父,,,,,,,,,,,,,,,,,,,,,,,,,,,野原 寛,のはら ひろし,2021/3/7,0,男,A型,,,,,,,,,,,,,,,,,,,,2021/07/18,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+105@densan-s.co.jp,shibata5
6 - 子供 1,6,a0005,2016/06/10,1100,0,,0,0,,0,0,2016/06/10,1100,0,,,西岡 太朗,にしおか たろう,2210821,神奈川県横浜市神奈川区富家町,1-1,,080-3567-4411,akio_shibata+106@densan-s.co.jp,,西岡 晋也,にしおか しんや,父,,,,,,,,,,,,,,,,,,,,,,,,,,,西岡 広之,にしおか ひろゆき,2015/8/3,6,男,O型,,,,,,,,,,,,,,,,,,,,2016/06/10,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+106@densan-s.co.jp,shibata6
7 - 子供 1,7,a0005,2020/07/31,1700,0,,0,0,,0,0,2020/07/31,1700,0,,,石田 佳乃,いしだ よしの,2350011,神奈川県横浜市磯子区丸山,1-1,,090-8877-5919,akio_shibata+107@densan-s.co.jp,,石田 なつみ,いしだ なつみ,母,,,,,,,,,,,,,,,,,,,,,,,,,,,石田 由宇,いしだ ゆう,2020/1/24,2,女,A型,,,,,,,,,,,,,,,,,,,,2020/07/31,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+107@densan-s.co.jp,shibata7
8 - 子供 1,8,a0005,2019/12/14,1600,0,,0,0,,0,0,2019/12/14,1600,0,,,沢井 メイサ,さわい めいさ,2210000,神奈川県横浜市神奈川区以下に掲載がない場合,1-1,,080-9269-9877,akio_shibata+108@densan-s.co.jp,,沢井 徹,さわい とおる,父,,,,,,,,,,,,,,,,,,,,,,,,,,,沢井 隆博,さわい たかひろ,2019/11/4,2,男,B型,,,,,,,,,,,,,,,,,,,,2019/12/14,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+108@densan-s.co.jp,shibata8
9 - 子供 1,9,a0005,2021/04/13,1400,0,,0,0,,0,0,2021/04/13,1400,0,,,瀬戸 翔太,せと しょうた,2206004,神奈川県横浜市西区みなとみらいクイーンズタワーＡ（４階）,1-1,,090-1935-7386,akio_shibata+109@densan-s.co.jp,,瀬戸 璃子,せと りこ,母,,,,,,,,,,,,,,,,,,,,,,,,,,,瀬戸 慢太郎,せと まんたろう,2020/2/1,2,男,O型,,,,,,,,,,,,,,,,,,,,2021/04/13,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+109@densan-s.co.jp,shibata9
10 - 子供 1,10,a0005,2020/09/26,1700,0,,0,0,,0,0,2020/09/26,1700,0,,,北 美嘉,きた みか,2310011,神奈川県横浜市中区太田町,1-1,,090-9740-6303,akio_shibata+110@densan-s.co.jp,,北 さやか,きた さやか,母,,,,,,,,,,,,,,,,,,,,,,,,,,,北 恵梨香,きた えりか,2020/1/30,2,女,A型,,,,,,,,,,,,,,,,,,,,2020/09/26,,,,0,0,0,0,,,,,,,,,,,,,akio_shibata+110@densan-s.co.jp,shibata10
