名前,ふりがな,性別,年齢,誕生日,血液型,都道府県,携帯
薬師丸 千夏,やくしまる ちなつ,女,5,2016/8/27,O型,静岡県,080-1735-2932
小沢 窈,おざわ よう,女,0,2021/5/29,O型,佐賀県,080-3786-1050
小宮 文世,こみや ふみよ,女,2,2019/9/23,AB型,埼玉県,080-7881-7459
笹原 翔,ささはら しょう,男,4,2017/11/22,AB型,群馬県,080-4966-1541
車 惇,くるま じゅん,男,5,2016/12/8,A型,北海道,090-6796-4480
玉井 早紀,たまい さき,女,3,2018/5/15,O型,広島県,080-5235-8014
中本 丈雄,なかもと たけお,男,1,2021/2/10,B型,東京都,080-6917-3830
福原 美佳,ふくはら みか,女,5,2016/7/6,O型,宮城県,080-3471-2192
日下部 直人,くさかべ なおと,男,3,2018/9/9,A型,兵庫県,090-9520-3113
本間 賢治,ほんま けんじ,男,1,2020/4/21,A型,静岡県,080-8172-6137
永田 京子,ながた きょうこ,女,5,2016/11/2,A型,神奈川県,080-7968-1208
武 千佳子,たけ ちかこ,女,1,2020/9/6,O型,兵庫県,080-7873-4568
安倍 徹,あべ とおる,男,2,2019/5/2,A型,福岡県,080-2840-9244
金井 真奈美,かない まなみ,女,4,2017/4/13,A型,東京都,090-3139-6900
今 徹平,こん てっぺい,男,0,2021/7/22,A型,福岡県,080-1286-1179
筧 陽介,かけい ようすけ,男,6,2015/3/27,O型,愛知県,090-6936-4989
大場 有海,おおば あみ,女,3,2018/6/22,B型,神奈川県,080-4139-3547
松岡 慶二,まつおか けいじ,男,5,2016/8/20,A型,福岡県,090-1907-9269
松島 功補,まつしま こうすけ,男,2,2020/1/2,B型,長野県,090-4448-  29
井上 えみ,いのうえ えみ,女,0,2021/11/24,B型,千葉県,090-8554-7349
石崎 麗奈,いしざき れな,女,2,2019/9/13,O型,大阪府,090-7229-2380
深沢 あさみ,ふかざわ あさみ,女,4,2017/7/4,O型,愛知県,080-8402- 790
堀江 真一,ほりえ しんいち,男,4,2017/8/30,A型,岡山県,090-1158- 364
重松 真悠子,しげまつ まゆこ,女,4,2017/12/21,A型,千葉県,090- 574-3923
笠井 美智子,かさい みちこ,女,0,2021/3/3,O型,岩手県,080-7409-2409
飯田 勇一,いいだ ゆういち,男,1,2020/6/22,A型,神奈川県,090-  62-2735
田村 陽介,たむら ようすけ,男,3,2018/11/16,A型,東京都,080- 520-7714
加藤 だん吉,かとう だんきち,男,1,2021/1/31,A型,千葉県,090-6316-7372
